frame_id,timestamp,diameter_mm,diameter,confidence,is_bad_data
82,2.733333333333178,5.2833333333348875,158.5000000000466,0.9722222089768752,False
83,2.7666666666665094,5.349999999999685,160.49999999999056,4.5852210917018965e-12,True
84,2.799999999999841,5.316666666666825,159.50000000000477,0.749999999996423,False
85,2.8333333333331723,5.116666666667632,153.50000000002896,0.9999999999987943,False
86,2.8666666666665037,5.183333333333007,155.4999999999902,1.0,False
87,2.899999999999835,4.850000000001647,145.50000000004943,1.0,False
88,2.9333333333331666,4.833333333333416,145.00000000000247,1.0,False
89,2.966666666666498,4.73333333333384,142.00000000001518,1.0,False
90,2.9999999999998295,4.666666666667008,140.00000000001023,1.0,False
91,3.033333333333161,4.616666666666925,138.50000000000773,1.0,False
92,3.0666666666664923,4.600000000000087,138.00000000000261,1.0,False
93,3.099999999999824,4.500000000000529,135.0000000000159,1.0,False
94,3.1333333333331552,4.4500000000002675,133.50000000000801,1.0,False
